,epoch,acc
0,0,13.67
1,1,18.58
2,2,20.8
3,3,22.22
4,4,19.17
5,5,20.09
6,6,23.22
7,7,27.45
8,8,22.75
9,9,25.91
10,10,26.82
11,11,27.53
12,12,28.4
13,13,26.18
14,14,27.48
15,15,20.47
16,16,30.01
17,17,28.5
18,18,28.26
19,19,27.02
20,20,32.73
21,21,26.5
22,22,31.47
23,23,34.19
24,24,33.37
25,25,30.11
26,26,31.49
27,27,35.57
28,28,32.36
29,29,33.46
30,30,34.36
31,31,29.73
32,32,36.48
33,33,34.0
34,34,34.46
35,35,33.14
36,36,36.4
37,37,35.4
38,38,36.0
39,39,38.43
40,40,26.29
41,41,37.47
42,42,33.7
43,43,34.07
44,44,34.27
45,45,41.26
46,46,39.45
47,47,42.66
48,48,39.98
49,49,40.44
50,50,33.12
51,51,42.0
52,52,42.5
53,53,41.25
54,54,41.89
55,55,39.01
56,56,43.31
57,57,41.38
58,58,39.45
59,59,40.58
60,60,41.7
61,61,43.99
62,62,39.87
63,63,41.63
64,64,44.65
65,65,43.55
66,66,45.37
67,67,43.6
68,68,40.79
69,69,40.57
70,70,42.55
71,71,42.5
72,72,44.59
73,73,42.58
74,74,43.91
75,75,40.67
76,76,45.59
77,77,42.96
78,78,43.88
79,79,45.26
80,80,46.0
81,81,45.18
82,82,41.21
83,83,43.07
84,84,44.3
85,85,43.51
86,86,45.05
87,87,44.38
88,88,44.89
89,89,45.55
90,90,43.14
91,91,43.17
92,92,43.86
93,93,43.96
94,94,44.3
95,95,46.15
96,96,44.72
97,97,45.83
98,98,45.71
99,99,45.03
