,epoch,acc
0,0,27.98
1,1,42.89
2,2,45.52
3,3,43.79
4,4,46.2
5,5,55.26
6,6,54.36
7,7,50.69
8,8,47.29
9,9,64.21
10,10,64.88
11,11,63.01
12,12,51.01
13,13,59.52
14,14,68.72
15,15,71.13
16,16,69.98
17,17,59.87
18,18,69.48
19,19,70.53
20,20,73.05
21,21,73.86
22,22,70.02
23,23,75.54
24,24,75.87
25,25,75.47
26,26,73.62
27,27,77.0
28,28,76.89
29,29,73.81
30,30,78.82
31,31,77.6
32,32,69.79
33,33,76.46
34,34,75.44
35,35,77.17
36,36,77.45
37,37,78.46
38,38,79.44
39,39,78.75
40,40,78.93
41,41,79.89
42,42,78.11
43,43,78.97
44,44,80.49
45,45,79.88
46,46,79.9
47,47,79.91
48,48,80.78
49,49,81.17
50,50,76.77
51,51,80.88
52,52,81.27
53,53,74.63
54,54,77.37
55,55,80.01
56,56,81.45
57,57,80.98
58,58,80.37
59,59,82.28
60,60,78.66
61,61,79.86
62,62,82.25
63,63,80.74
64,64,78.39
65,65,81.32
66,66,78.52
67,67,81.15
68,68,82.53
69,69,81.97
70,70,81.78
71,71,81.22
72,72,82.48
73,73,82.18
74,74,82.0
75,75,83.49
76,76,83.36
77,77,81.93
78,78,82.36
79,79,81.47
80,80,81.32
81,81,81.82
82,82,82.83
83,83,83.93
84,84,83.09
85,85,83.01
86,86,83.63
87,87,83.44
88,88,83.9
89,89,84.37
90,90,83.77
91,91,83.61
92,92,83.01
93,93,82.5
94,94,83.86
95,95,84.0
96,96,83.16
97,97,83.91
98,98,83.73
99,99,84.04
