,epoch,acc
0,0,50.03
1,1,57.36
2,2,66.1
3,3,72.49
4,4,77.02
5,5,79.2
6,6,79.46
7,7,84.28
8,8,81.74
9,9,80.91
10,10,84.19
11,11,85.69
12,12,85.88
13,13,85.47
14,14,87.2
15,15,85.18
16,16,86.66
17,17,88.01
18,18,88.01
19,19,87.61
20,20,88.46
21,21,88.12
22,22,88.62
23,23,87.05
24,24,89.07
25,25,86.85
26,26,86.86
27,27,89.02
28,28,88.77
29,29,88.69
30,30,88.33
31,31,88.5
32,32,89.15
33,33,87.46
34,34,89.06
35,35,89.3
36,36,89.05
37,37,90.07
38,38,90.76
39,39,88.37
40,40,89.43
41,41,89.79
42,42,91.34
43,43,91.26
44,44,90.71
45,45,90.91
46,46,90.08
47,47,89.67
48,48,91.03
49,49,90.56
50,50,91.38
51,51,90.26
52,52,90.45
53,53,90.74
54,54,90.41
55,55,91.61
56,56,91.13
57,57,91.31
58,58,91.15
59,59,91.59
60,60,91.19
61,61,92.05
62,62,91.11
63,63,91.55
64,64,91.7
65,65,92.28
66,66,91.53
67,67,92.09
68,68,91.77
69,69,92.03
70,70,92.55
71,71,91.68
72,72,91.86
73,73,92.23
74,74,92.44
75,75,92.6
76,76,92.49
77,77,92.46
78,78,92.68
79,79,92.49
80,80,92.61
81,81,92.15
82,82,93.01
83,83,93.02
84,84,92.17
85,85,92.91
86,86,93.04
87,87,93.25
88,88,92.41
89,89,92.97
90,90,92.76
91,91,92.77
92,92,93.3
93,93,92.91
94,94,93.19
95,95,93.49
96,96,93.5
97,97,93.04
98,98,93.43
99,99,93.39
