,epoch,acc
0,0,56.68
1,1,62.69
2,2,70.22
3,3,75.37
4,4,80.12
5,5,82.18
6,6,80.71
7,7,80.29
8,8,81.87
9,9,84.45
10,10,83.5
11,11,84.68
12,12,82.58
13,13,86.65
14,14,85.15
15,15,83.86
16,16,85.48
17,17,85.71
18,18,86.27
19,19,87.0
20,20,85.11
21,21,86.47
22,22,87.92
23,23,87.45
24,24,88.48
25,25,86.61
26,26,88.43
27,27,87.39
28,28,88.99
29,29,88.93
30,30,88.78
31,31,88.91
32,32,87.5
33,33,89.18
34,34,89.3
35,35,87.84
36,36,88.66
37,37,86.4
38,38,89.38
39,39,90.51
40,40,89.39
41,41,88.97
42,42,90.12
43,43,88.99
44,44,89.67
45,45,89.58
46,46,87.97
47,47,88.54
48,48,90.49
49,49,90.5
50,50,90.1
51,51,90.18
52,52,90.71
53,53,89.85
54,54,89.77
55,55,90.54
56,56,89.5
57,57,90.77
58,58,91.14
59,59,90.65
60,60,91.24
61,61,90.66
62,62,91.56
63,63,91.21
64,64,90.5
65,65,90.91
66,66,91.42
67,67,90.24
68,68,91.15
69,69,91.05
70,70,90.94
71,71,91.29
72,72,91.25
73,73,91.88
74,74,91.54
75,75,91.28
76,76,91.54
77,77,91.66
78,78,91.86
79,79,91.93
80,80,91.5
81,81,91.56
82,82,91.22
83,83,92.26
84,84,92.12
85,85,91.89
86,86,92.69
87,87,92.34
88,88,92.44
89,89,92.55
90,90,92.6
91,91,92.48
92,92,92.17
93,93,92.51
94,94,92.76
95,95,92.7
96,96,92.39
97,97,92.6
98,98,92.93
99,99,92.82
