,epoch,acc
0,0,30.45
1,1,29.6
2,2,32.01
3,3,44.35
4,4,36.22
5,5,48.75
6,6,47.93
7,7,54.38
8,8,54.6
9,9,55.27
10,10,61.58
11,11,58.51
12,12,58.24
13,13,63.65
14,14,65.6
15,15,63.34
16,16,70.35
17,17,73.13
18,18,72.84
19,19,70.54
20,20,75.39
21,21,74.63
22,22,75.17
23,23,76.0
24,24,79.68
25,25,74.15
26,26,80.83
27,27,77.59
28,28,77.16
29,29,80.88
30,30,78.89
31,31,80.48
32,32,80.68
33,33,79.43
34,34,80.5
35,35,84.22
36,36,80.69
37,37,79.24
38,38,80.64
39,39,82.49
40,40,80.28
41,41,84.58
42,42,85.81
43,43,83.35
44,44,84.76
45,45,85.02
46,46,84.11
47,47,86.23
48,48,84.17
49,49,84.78
50,50,86.76
51,51,85.4
52,52,86.44
53,53,87.07
54,54,85.81
55,55,86.9
56,56,85.29
57,57,86.57
58,58,87.29
59,59,88.65
60,60,88.19
61,61,87.79
62,62,85.72
63,63,87.84
64,64,87.01
65,65,88.79
66,66,88.25
67,67,88.49
68,68,87.78
69,69,88.06
70,70,89.13
71,71,88.3
72,72,88.81
73,73,87.8
74,74,88.76
75,75,88.93
76,76,88.63
77,77,87.57
78,78,88.85
79,79,88.95
80,80,88.91
81,81,88.24
82,82,88.85
83,83,89.47
84,84,89.78
85,85,89.4
86,86,89.07
87,87,89.87
88,88,89.5
89,89,89.09
90,90,89.23
91,91,89.69
92,92,88.91
93,93,89.53
94,94,90.05
95,95,89.9
96,96,89.7
97,97,90.17
98,98,90.05
99,99,89.83
