,epoch,acc
0,0,39.58
1,1,54.47
2,2,62.85
3,3,71.0
4,4,76.32
5,5,78.3
6,6,75.88
7,7,79.97
8,8,79.7
9,9,82.15
10,10,83.79
11,11,85.07
12,12,85.85
13,13,84.15
14,14,84.64
15,15,87.4
16,16,86.66
17,17,86.97
18,18,87.14
19,19,85.94
20,20,85.59
21,21,86.24
22,22,86.59
23,23,87.02
24,24,88.72
25,25,87.67
26,26,86.62
27,27,88.3
28,28,86.71
29,29,88.04
30,30,90.01
31,31,88.43
32,32,89.14
33,33,85.45
34,34,90.14
35,35,89.21
36,36,90.12
37,37,89.49
38,38,89.07
39,39,89.7
40,40,89.79
41,41,89.45
42,42,90.72
43,43,89.67
44,44,90.51
45,45,91.14
46,46,90.33
47,47,90.71
48,48,90.83
49,49,90.4
50,50,90.28
51,51,90.84
52,52,89.48
53,53,90.94
54,54,91.15
55,55,91.6
56,56,90.29
57,57,91.5
58,58,90.73
59,59,91.04
60,60,91.87
61,61,91.0
62,62,90.82
63,63,91.78
64,64,91.2
65,65,91.43
66,66,91.44
67,67,91.47
68,68,92.13
69,69,92.14
70,70,92.21
71,71,92.38
72,72,91.95
73,73,92.47
74,74,92.72
75,75,92.38
76,76,92.37
77,77,92.48
78,78,92.34
79,79,92.03
80,80,92.93
81,81,92.5
82,82,93.01
83,83,92.78
84,84,92.37
85,85,92.87
86,86,92.88
87,87,92.97
88,88,92.57
89,89,92.87
90,90,93.1
91,91,92.91
92,92,93.29
93,93,93.3
94,94,93.3
95,95,93.34
96,96,93.22
97,97,93.3
98,98,93.22
99,99,93.2
