,epoch,acc
0,0,41.49
1,1,48.98
2,2,50.74
3,3,60.12
4,4,64.1
5,5,69.21
6,6,75.33
7,7,79.44
8,8,79.92
9,9,77.46
10,10,82.57
11,11,83.82
12,12,79.73
13,13,84.28
14,14,83.99
15,15,84.56
16,16,86.22
17,17,83.75
18,18,84.8
19,19,87.33
20,20,83.34
21,21,86.42
22,22,86.4
23,23,85.8
24,24,87.39
25,25,87.03
26,26,87.5
27,27,87.03
28,28,88.56
29,29,88.37
30,30,88.84
31,31,88.12
32,32,88.56
33,33,86.53
34,34,88.71
35,35,88.04
36,36,89.7
37,37,89.31
38,38,89.94
39,39,90.06
40,40,89.46
41,41,86.97
42,42,90.11
43,43,88.28
44,44,88.97
45,45,90.13
46,46,90.05
47,47,90.72
48,48,90.62
49,49,90.33
50,50,90.34
51,51,89.5
52,52,89.49
53,53,90.26
54,54,90.34
55,55,91.09
56,56,90.45
57,57,89.72
58,58,91.59
59,59,90.79
60,60,91.04
61,61,90.82
62,62,90.35
63,63,91.31
64,64,91.13
65,65,91.2
66,66,90.89
67,67,91.38
68,68,91.16
69,69,91.6
70,70,91.12
71,71,91.67
72,72,91.32
73,73,91.11
74,74,91.24
75,75,91.52
76,76,91.93
77,77,92.16
78,78,91.87
79,79,92.06
80,80,92.04
81,81,92.08
82,82,92.22
83,83,91.55
84,84,92.16
85,85,91.99
86,86,91.85
87,87,91.83
88,88,92.25
89,89,92.13
90,90,92.4
91,91,92.54
92,92,92.46
93,93,92.53
94,94,92.15
95,95,92.27
96,96,92.7
97,97,92.54
98,98,92.17
99,99,92.61
