,epoch,acc
0,0,47.7
1,1,58.42
2,2,63.69
3,3,63.44
4,4,65.59
5,5,74.04
6,6,75.62
7,7,77.59
8,8,77.76
9,9,79.44
10,10,79.51
11,11,81.81
12,12,80.6
13,13,81.71
14,14,81.43
15,15,82.64
16,16,83.34
17,17,83.42
18,18,81.25
19,19,86.32
20,20,85.0
21,21,83.28
22,22,84.7
23,23,82.71
24,24,83.37
25,25,85.51
26,26,85.46
27,27,86.9
28,28,85.69
29,29,86.5
30,30,84.99
31,31,87.48
32,32,86.77
33,33,86.44
34,34,87.4
35,35,86.71
36,36,87.4
37,37,86.69
38,38,87.59
39,39,87.86
40,40,87.28
41,41,88.16
42,42,87.95
43,43,85.17
44,44,86.89
45,45,86.73
46,46,87.59
47,47,89.04
48,48,88.94
49,49,86.68
50,50,88.1
51,51,88.58
52,52,88.3
53,53,88.99
54,54,87.91
55,55,89.3
56,56,88.81
57,57,89.77
58,58,88.69
59,59,89.03
60,60,90.15
61,61,88.61
62,62,89.62
63,63,89.04
64,64,89.62
65,65,89.69
66,66,89.7
67,67,89.72
68,68,89.66
69,69,89.76
70,70,88.79
71,71,90.02
72,72,89.51
73,73,90.33
74,74,90.21
75,75,89.95
76,76,90.1
77,77,90.48
78,78,89.89
79,79,90.46
80,80,90.74
81,81,90.21
82,82,90.62
83,83,90.66
84,84,90.25
85,85,90.38
86,86,90.63
87,87,90.48
88,88,91.01
89,89,90.91
90,90,90.91
91,91,90.82
92,92,90.94
93,93,90.55
94,94,91.14
95,95,91.11
96,96,91.23
97,97,91.25
98,98,91.21
99,99,91.41
