,epoch,acc
0,0,55.65
1,1,63.45
2,2,72.23
3,3,74.86
4,4,78.33
5,5,80.34
6,6,82.17
7,7,83.53
8,8,78.07
9,9,85.38
10,10,86.21
11,11,84.17
12,12,84.91
13,13,86.19
14,14,84.6
15,15,83.44
16,16,88.4
17,17,83.94
18,18,88.12
19,19,86.93
20,20,88.23
21,21,89.09
22,22,87.26
23,23,86.96
24,24,86.7
25,25,89.46
26,26,88.09
27,27,88.15
28,28,89.0
29,29,88.47
30,30,88.16
31,31,89.15
32,32,89.4
33,33,90.71
34,34,90.19
35,35,89.74
36,36,90.11
37,37,90.11
38,38,88.95
39,39,90.26
40,40,91.08
41,41,90.17
42,42,90.41
43,43,90.15
44,44,89.26
45,45,90.07
46,46,89.97
47,47,91.27
48,48,90.2
49,49,91.44
50,50,90.95
51,51,90.04
52,52,91.54
53,53,91.19
54,54,90.93
55,55,91.63
56,56,90.61
57,57,90.73
58,58,90.55
59,59,90.95
60,60,91.28
61,61,91.28
62,62,91.46
63,63,91.38
64,64,91.96
65,65,92.16
66,66,91.67
67,67,91.18
68,68,91.81
69,69,91.57
70,70,92.04
71,71,91.88
72,72,91.79
73,73,92.29
74,74,92.38
75,75,92.31
76,76,92.42
77,77,92.21
78,78,91.97
79,79,92.57
80,80,92.32
81,81,92.44
82,82,92.66
83,83,92.71
84,84,92.8
85,85,92.34
86,86,92.79
87,87,93.03
88,88,92.92
89,89,93.08
90,90,92.73
91,91,93.11
92,92,92.76
93,93,92.81
94,94,92.95
95,95,93.12
96,96,93.25
97,97,93.39
98,98,93.37
99,99,93.19
