,epoch,acc
0,0,28.91
1,1,36.92
2,2,43.79
3,3,54.32
4,4,59.91
5,5,54.36
6,6,68.54
7,7,70.62
8,8,73.69
9,9,73.0
10,10,72.16
11,11,81.32
12,12,77.79
13,13,76.51
14,14,80.98
15,15,81.06
16,16,85.03
17,17,81.35
18,18,84.75
19,19,84.87
20,20,85.16
21,21,85.34
22,22,82.59
23,23,85.35
24,24,83.09
25,25,86.25
26,26,87.89
27,27,86.8
28,28,87.73
29,29,85.69
30,30,87.38
31,31,87.72
32,32,86.65
33,33,86.04
34,34,88.89
35,35,87.58
36,36,88.42
37,37,88.09
38,38,89.16
39,39,89.42
40,40,89.23
41,41,88.99
42,42,89.1
43,43,88.66
44,44,88.7
45,45,89.14
46,46,88.88
47,47,89.94
48,48,88.87
49,49,88.1
50,50,88.38
51,51,88.37
52,52,89.33
53,53,90.28
54,54,89.93
55,55,90.08
56,56,90.3
57,57,90.59
58,58,89.79
59,59,90.63
60,60,91.2
61,61,90.44
62,62,90.34
63,63,89.44
64,64,90.51
65,65,90.27
66,66,90.11
67,67,91.57
68,68,90.49
69,69,90.73
70,70,91.06
71,71,91.31
72,72,91.22
73,73,91.31
74,74,91.61
75,75,91.73
76,76,90.98
77,77,91.82
78,78,91.52
79,79,91.84
80,80,91.79
81,81,91.77
82,82,91.43
83,83,91.7
84,84,91.86
85,85,91.53
86,86,91.91
87,87,92.15
88,88,92.11
89,89,92.42
90,90,92.38
91,91,92.41
92,92,92.41
93,93,92.46
94,94,92.56
95,95,92.33
96,96,92.2
97,97,92.5
98,98,92.52
99,99,92.54
