,epoch,acc
0,0,36.5
1,1,56.03
2,2,59.17
3,3,58.92
4,4,64.93
5,5,71.14
6,6,64.73
7,7,72.73
8,8,72.47
9,9,70.68
10,10,75.19
11,11,75.34
12,12,79.67
13,13,76.02
14,14,76.68
15,15,73.25
16,16,80.91
17,17,80.11
18,18,78.63
19,19,82.07
20,20,80.58
21,21,80.6
22,22,82.04
23,23,80.81
24,24,81.81
25,25,81.96
26,26,82.92
27,27,83.2
28,28,83.13
29,29,82.92
30,30,81.44
31,31,81.79
32,32,82.14
33,33,83.31
34,34,84.34
35,35,83.6
36,36,82.98
37,37,83.77
38,38,83.77
39,39,85.16
40,40,84.56
41,41,81.81
42,42,85.31
43,43,83.58
44,44,83.38
45,45,85.18
46,46,85.33
47,47,86.67
48,48,85.54
49,49,85.42
50,50,86.07
51,51,84.96
52,52,85.44
53,53,86.0
54,54,85.19
55,55,86.75
56,56,86.04
57,57,85.28
58,58,86.37
59,59,86.28
60,60,86.42
61,61,87.72
62,62,85.66
63,63,86.56
64,64,86.83
65,65,86.53
66,66,87.34
67,67,87.22
68,68,87.48
69,69,87.71
70,70,86.84
71,71,86.39
72,72,86.36
73,73,86.96
74,74,87.26
75,75,86.96
76,76,87.62
77,77,87.58
78,78,87.6
79,79,87.44
80,80,87.75
81,81,86.3
82,82,88.05
83,83,87.82
84,84,88.09
85,85,87.69
86,86,87.41
87,87,87.73
88,88,88.24
89,89,88.36
90,90,88.32
91,91,87.74
92,92,88.18
93,93,88.63
94,94,88.44
95,95,88.46
96,96,88.1
97,97,88.16
98,98,87.84
99,99,88.3
