,epoch,acc
0,0,37.82
1,1,48.5
2,2,55.76
3,3,53.4
4,4,65.6
5,5,60.76
6,6,66.49
7,7,69.31
8,8,64.46
9,9,72.43
10,10,74.66
11,11,71.29
12,12,75.08
13,13,71.64
14,14,72.69
15,15,76.72
16,16,77.04
17,17,75.69
18,18,79.48
19,19,75.58
20,20,74.95
21,21,78.93
22,22,78.29
23,23,79.67
24,24,77.0
25,25,77.35
26,26,76.84
27,27,79.87
28,28,78.52
29,29,79.82
30,30,81.12
31,31,78.15
32,32,81.73
33,33,80.39
34,34,81.11
35,35,81.42
36,36,80.75
37,37,79.79
38,38,80.46
39,39,83.05
40,40,81.88
41,41,82.46
42,42,82.82
43,43,83.5
44,44,79.57
45,45,82.73
46,46,82.1
47,47,82.29
48,48,83.94
49,49,82.86
50,50,83.33
51,51,83.4
52,52,83.09
53,53,83.73
54,54,83.21
55,55,84.74
56,56,83.37
57,57,84.28
58,58,83.81
59,59,85.32
60,60,84.67
61,61,84.51
62,62,83.83
63,63,84.89
64,64,83.97
65,65,84.83
66,66,85.79
67,67,85.45
68,68,86.12
69,69,85.16
70,70,84.97
71,71,85.81
72,72,85.34
73,73,85.69
74,74,85.71
75,75,85.47
76,76,85.6
77,77,86.05
78,78,85.46
79,79,86.38
80,80,86.76
81,81,86.63
82,82,86.61
83,83,86.4
84,84,86.44
85,85,86.83
86,86,86.7
87,87,86.86
88,88,87.04
89,89,86.65
90,90,86.53
91,91,86.82
92,92,86.7
93,93,87.13
94,94,87.04
95,95,87.06
96,96,87.1
97,97,87.2
98,98,87.18
99,99,87.12
