,epoch,acc
0,0,49.81
1,1,61.01
2,2,70.91
3,3,71.58
4,4,75.58
5,5,75.34
6,6,81.29
7,7,81.93
8,8,82.85
9,9,82.45
10,10,84.72
11,11,80.43
12,12,84.27
13,13,85.15
14,14,85.26
15,15,79.59
16,16,86.54
17,17,87.42
18,18,85.6
19,19,86.0
20,20,85.4
21,21,87.06
22,22,84.99
23,23,86.59
24,24,87.43
25,25,87.36
26,26,83.98
27,27,86.98
28,28,87.97
29,29,87.66
30,30,88.11
31,31,88.56
32,32,88.94
33,33,87.23
34,34,88.93
35,35,88.48
36,36,89.06
37,37,87.82
38,38,89.43
39,39,88.39
40,40,88.21
41,41,88.31
42,42,88.55
43,43,89.5
44,44,89.09
45,45,89.32
46,46,89.01
47,47,89.3
48,48,90.88
49,49,88.93
50,50,89.54
51,51,89.93
52,52,89.83
53,53,90.5
54,54,89.07
55,55,90.57
56,56,90.21
57,57,90.24
58,58,90.01
59,59,90.85
60,60,91.22
61,61,90.83
62,62,90.79
63,63,91.01
64,64,91.39
65,65,90.65
66,66,91.03
67,67,90.67
68,68,90.76
69,69,90.97
70,70,91.52
71,71,91.26
72,72,91.69
73,73,91.54
74,74,91.43
75,75,91.59
76,76,91.23
77,77,91.58
78,78,91.51
79,79,91.0
80,80,92.06
81,81,91.48
82,82,91.53
83,83,91.8
84,84,92.34
85,85,91.93
86,86,91.31
87,87,92.06
88,88,92.25
89,89,92.03
90,90,92.35
91,91,92.08
92,92,92.2
93,93,92.48
94,94,92.65
95,95,92.19
96,96,92.35
97,97,92.37
98,98,92.38
99,99,92.31
